date,1_cap_pres,2_balanced,3_aggressive,4_tactical,spy,qqq,60_40,sso
2012-09-04,115328.81869062808,111096.57014473478,131580.20651402272,102996.51193958512,135909.48370851294,160988.12390487245,147522.88537754692,152923.98326368534
2012-09-05,114980.79504761976,111025.01247171294,131803.91712599495,103192.40631216567,135793.80323483513,160822.63683322573,147169.46163989778,152728.73950653974
2012-09-06,115829.26321636167,112821.30076586537,133809.02121304045,104713.64126813039,138549.98121047652,164392.7780876444,147986.574122675,157378.5936756666
2012-09-07,115612.5034584784,112969.6614154148,132655.10740606315,104462.70601512061,139089.63282299633,164156.3302084948,148069.20909821166,158298.07714774465
2012-09-10,115435.41850180851,112690.0771327983,131856.13985226705,104138.9853088818,138299.40423759294,162052.1190196933,147693.60465283637,156949.03700322442
2012-09-11,115840.2035826463,113294.01732905043,132288.0104398151,104460.43347382131,138684.94332537916,161791.99380646506,147583.18467357144,157605.33037869545
2012-09-12,115993.460769358,113633.98301386113,132680.92631622963,104567.4415214143,139147.47774667075,162264.8488820596,147170.64459335874,158393.78536736875
2012-09-13,116607.18845496938,114283.27127642752,133274.89631466052,105161.88689158703,141267.6052773393,164463.71855379493,148328.99364838822,162013.8476618741
2012-09-14,116615.09011856132,114960.33433339768,133763.14238356263,104983.63558433804,141894.01958853522,165929.58759535517,147239.92430212034,163091.45982130806
2012-09-17,116769.24439897433,114329.91425305253,132932.5128457486,104689.40586064564,141412.16603133487,166000.5585735342,147584.2602753857,162260.7038779803
2012-09-18,116817.48692178325,114163.7803087304,132752.78822380202,104485.08079648358,141296.48555765703,166142.34796974997,147787.0108630462,162061.600834614
2012-09-19,117031.91107178497,114463.86280129218,133790.05305977218,105084.45744939437,141373.61212255625,166449.77699775473,148203.35782563163,162194.29261238655
2012-09-20,116861.69791552784,114566.44673399831,134425.063815951,105483.89614066482,141383.24825633314,166284.32043813646,148348.7019674087,162210.8755433664
2012-09-21,117127.10039019416,114633.09046659645,135435.27440906444,105881.75873540746,141324.18475543015,166331.624252913,148375.10291890812,162109.22903666605
2012-09-24,116918.5564719318,114260.4720669991,134463.9298192458,105417.20292485299,141111.0087297935,165359.53136778914,148676.57010617733,161742.4361778409
