date,R_t,n_indicators
2007-10-08,0.5868,22
2007-10-09,0.5674,22
2007-10-10,0.5847,22
2007-10-11,0.634,22
2007-10-12,0.5926,22
2007-10-15,0.6179,22
2007-10-16,0.6318,22
2007-10-17,0.6001,22
2007-10-18,0.5952,22
2007-10-19,0.6745,22
2007-10-22,0.6703,22
2007-10-23,0.6379,22
2007-10-24,0.6435,22
2007-10-25,0.6691,22
2007-10-26,0.653,22
2007-10-29,0.6607,22
2007-10-30,0.682,22
2007-10-31,0.6357,22
2007-11-01,0.7313,22
2007-11-02,0.7118,22
2007-11-05,0.7332,22
2007-11-06,0.7012,22
2007-11-07,0.7539,22
2007-11-08,0.7405,22
2007-11-09,0.766,22
2007-11-12,0.7681,22
2007-11-13,0.7024,22
2007-11-14,0.7287,22
2007-11-15,0.7386,22
2007-11-16,0.7059,22
2007-11-19,0.7455,22
2007-11-20,0.7185,22
2007-11-21,0.7303,22
2007-11-23,0.7288,22
2007-11-26,0.749,22
2007-11-27,0.73,22
2007-11-28,0.7213,22
2007-11-29,0.7132,22
2007-11-30,0.6928,22
2007-12-03,0.6911,22
2007-12-04,0.6842,22
2007-12-05,0.6663,22
2007-12-06,0.6453,22
2007-12-07,0.6417,22
2007-12-10,0.6347,22
2007-12-11,0.6689,22
2007-12-12,0.6755,22
2007-12-13,0.6734,22
2007-12-14,0.6808,22
2007-12-17,0.6889,22
2007-12-18,0.6665,22
2007-12-19,0.667,22
2007-12-20,0.6507,22
2007-12-21,0.6364,22
2007-12-24,0.6319,22
2007-12-26,0.6368,22
2007-12-27,0.6658,22
2007-12-28,0.6598,22
2007-12-31,0.68,22
2008-01-02,0.6804,22
2008-01-03,0.6776,22
2008-01-04,0.6927,22
2008-01-07,0.6896,22
2008-01-08,0.68,22
2008-01-09,0.6802,22
2008-01-10,0.6574,22
2008-01-11,0.6481,22
2008-01-14,0.6572,22
2008-01-15,0.6437,22
2008-01-16,0.6581,22
2008-01-17,0.6916,22
2008-01-18,0.662,22
2008-01-22,0.6688,22
2008-01-23,0.6615,22
2008-01-24,0.6535,22
2008-01-25,0.6653,22
2008-01-28,0.6557,22
2008-01-29,0.6576,22
2008-01-30,0.6596,22
2008-01-31,0.6565,22
2008-02-01,0.6107,22
2008-02-04,0.6314,22
2008-02-05,0.6458,22
2008-02-06,0.6461,22
2008-02-07,0.6357,22
2008-02-08,0.6494,22
2008-02-11,0.6437,22
2008-02-12,0.6308,22
2008-02-13,0.6012,22
2008-02-14,0.6175,22
2008-02-15,0.6189,22
2008-02-19,0.6286,22
2008-02-20,0.6338,22
2008-02-21,0.6287,22
2008-02-22,0.6111,22
2008-02-25,0.6135,22
2008-02-26,0.6169,22
2008-02-27,0.6206,22
2008-02-28,0.6368,22
2008-02-29,0.6689,22
2008-03-03,0.6685,22
2008-03-04,0.6618,22
2008-03-05,0.6567,22
2008-03-06,0.6897,22
2008-03-07,0.6981,22
2008-03-10,0.7131,22
2008-03-11,0.6899,22
2008-03-12,0.6853,22
2008-03-13,0.6898,22
2008-03-14,0.7112,22
2008-03-17,0.685,22
2008-03-18,0.6502,22
2008-03-19,0.6637,22
2008-03-20,0.618,22
2008-03-24,0.6234,22
2008-03-25,0.6117,22
2008-03-26,0.6249,22
2008-03-27,0.6407,22
2008-03-28,0.6328,22
2008-03-31,0.6332,22
2008-04-01,0.5904,22
2008-04-02,0.5932,22
2008-04-03,0.5919,22
2008-04-04,0.5804,22
2008-04-07,0.5974,22
2008-04-08,0.5921,22
2008-04-09,0.6047,22
2008-04-10,0.5968,22
2008-04-11,0.6085,22
2008-04-14,0.61,22
2008-04-15,0.5972,22
2008-04-16,0.569,22
2008-04-17,0.5595,22
2008-04-18,0.5442,22
2008-04-21,0.5518,22
2008-04-22,0.5576,22
2008-04-23,0.5541,22
2008-04-24,0.5492,22
2008-04-25,0.5472,22
2008-04-28,0.5515,22
2008-04-29,0.5519,22
2008-04-30,0.5606,22
2008-05-01,0.5069,22
2008-05-02,0.4873,22
2008-05-05,0.5081,22
2008-05-06,0.4855,22
2008-05-07,0.5125,22
2008-05-08,0.5186,22
2008-05-09,0.5019,22
2008-05-12,0.48,22
2008-05-13,0.4752,22
2008-05-14,0.4699,22
2008-05-15,0.4543,22
2008-05-16,0.4579,22
2008-05-19,0.4706,22
2008-05-20,0.4862,22
2008-05-21,0.5155,22
2008-05-22,0.5155,22
2008-05-23,0.5198,22
2008-05-27,0.5104,22
2008-05-28,0.4972,22
2008-05-29,0.4778,22
2008-05-30,0.4815,22
2008-06-02,0.4992,22
2008-06-03,0.4987,22
2008-06-04,0.4951,22
2008-06-05,0.4748,22
2008-06-06,0.5797,22
2008-06-09,0.5711,22
2008-06-10,0.5728,22
2008-06-11,0.6029,22
2008-06-12,0.5881,22
2008-06-13,0.5525,22
2008-06-16,0.5408,22
2008-06-17,0.5338,22
2008-06-18,0.5648,22
2008-06-19,0.544,22
2008-06-20,0.5758,22
2008-06-23,0.573,22
2008-06-24,0.5778,22
2008-06-25,0.5688,22
2008-06-26,0.6145,22
2008-06-27,0.6268,22
2008-06-30,0.6377,22
2008-07-01,0.664,22
2008-07-02,0.6992,22
2008-07-03,0.6767,22
2008-07-07,0.6915,22
2008-07-08,0.6566,22
2008-07-09,0.7007,22
2008-07-10,0.7,22
2008-07-11,0.7076,22
2008-07-14,0.712,22
2008-07-15,0.7003,22
2008-07-16,0.6635,22
2008-07-17,0.6459,22
2008-07-18,0.6248,22
2008-07-21,0.613,22
2008-07-22,0.5855,22
2008-07-23,0.5545,22
2008-07-24,0.6074,22
2008-07-25,0.5612,22
2008-07-28,0.6039,22
2008-07-29,0.561,22
2008-07-30,0.5549,22
2008-07-31,0.5814,22
2008-08-01,0.6101,22
2008-08-04,0.6247,22
2008-08-05,0.5865,22
2008-08-06,0.5526,22
2008-08-07,0.5803,22
2008-08-08,0.553,22
2008-08-11,0.5545,22
2008-08-12,0.565,22
2008-08-13,0.5775,22
2008-08-14,0.5492,22
2008-08-15,0.5331,22
2008-08-18,0.5591,22
2008-08-19,0.5748,22
2008-08-20,0.5489,22
2008-08-21,0.544,22
2008-08-22,0.5477,22
2008-08-25,0.5835,22
2008-08-26,0.568,22
2008-08-27,0.5594,22
2008-08-28,0.5464,22
2008-08-29,0.5604,22
2008-09-02,0.6208,22
2008-09-03,0.6089,22
2008-09-04,0.6647,22
2008-09-05,0.6709,22
2008-09-08,0.6636,22
2008-09-09,0.7119,22
2008-09-10,0.6952,22
2008-09-11,0.6856,22
2008-09-12,0.7104,22
2008-09-15,0.7611,22
2008-09-16,0.7295,22
2008-09-17,0.7698,22
2008-09-18,0.7337,22
2008-09-19,0.7311,22
2008-09-22,0.7529,22
2008-09-23,0.7716,22
2008-09-24,0.7764,22
2008-09-25,0.7596,22
2008-09-26,0.7803,22
2008-09-29,0.8026,22
2008-09-30,0.7928,22
2008-10-01,0.8149,22
2008-10-02,0.8198,22
2008-10-03,0.803,22
2008-10-06,0.8274,22
2008-10-07,0.8443,22
2008-10-08,0.8354,22
2008-10-09,0.8422,22
2008-10-10,0.8457,22
2008-10-13,0.8397,22
2008-10-14,0.8099,22
2008-10-15,0.7884,22
2008-10-16,0.8144,22
2008-10-17,0.7903,22
2008-10-20,0.7943,22
2008-10-21,0.7948,22
2008-10-22,0.7977,22
2008-10-23,0.7953,22
2008-10-24,0.7981,22
2008-10-27,0.7968,22
2008-10-28,0.7882,22
2008-10-29,0.788,22
2008-10-30,0.7826,22
2008-10-31,0.7735,22
2008-11-03,0.765,22
2008-11-04,0.7562,22
2008-11-05,0.7727,22
2008-11-06,0.7822,22
2008-11-07,0.7646,22
2008-11-10,0.7747,22
2008-11-11,0.7748,22
2008-11-12,0.7795,22
2008-11-13,0.7701,22
2008-11-14,0.7804,22
2008-11-17,0.8039,22
2008-11-18,0.7846,22
2008-11-19,0.788,22
2008-11-20,0.8023,22
2008-11-21,0.7806,22
2008-11-24,0.7727,22
2008-11-25,0.7742,22
2008-11-26,0.7691,22
2008-11-28,0.7706,22
2008-12-01,0.8251,22
2008-12-02,0.8142,22
2008-12-03,0.8017,22
2008-12-04,0.8099,22
2008-12-05,0.7701,22
2008-12-08,0.7525,22
2008-12-09,0.7526,22
2008-12-10,0.7491,22
2008-12-11,0.7526,22
2008-12-12,0.7577,22
2008-12-15,0.7601,22
2008-12-16,0.7401,22
2008-12-17,0.7477,22
2008-12-18,0.7473,22
2008-12-19,0.7601,22
2008-12-22,0.769,22
2008-12-23,0.7852,22
2008-12-24,0.7779,22
2008-12-26,0.7526,22
2008-12-29,0.7473,22
2008-12-30,0.7227,22
2008-12-31,0.7177,22
2009-01-02,0.6744,22
2009-01-05,0.6984,22
2009-01-06,0.6933,22
2009-01-07,0.698,22
2009-01-08,0.6975,22
2009-01-09,0.6796,22
2009-01-12,0.6917,22
