ticker,shortName,sector,industry,marketCap,tech_score,fund_score,composite,composite_rank,tech_rank,fund_rank,ma200_dist,rsi,rel_str_6m,ma200_rank,rsi_rank,rs6m_rank,forwardPE,revenueGrowth,grossMargins,returnOnEquity,operatingMargins,freeCashflow,nd_ebitda,forwardPE_rank,revenueGrowth_rank,grossMargins_rank,returnOnEquity_rank,operatingMargins_rank,nd_ebitda_rank
CME,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges,110686289920.0,6.46345530779493,17.2507646689996,23.71421997679453,327,535,64,0.03434685800198367,80.02983849964575,-0.2214692349163483,0.5378787878787878,0.009433962264150941,0.22830188679245284,23.725859,0.144,1.0,0.15919,0.69806,3030237440.0,,0.24626865671641796,0.700750469043152,0.9906542056074766,0.5218253968253969,0.9906542056074766,
JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,9993648128.0,8.83528683056985,14.827553817529527,23.662840648099376,328,478,126,0.052059256670809795,67.62962812258874,-0.09059710368488938,0.46212121212121215,0.09245283018867922,0.5056603773584906,19.888998,0.087,0.44057,0.24892001,0.24369,373407744.0,0.09365378431865422,0.375,0.48686679174484054,0.4953271028037383,0.7003968253968254,0.6728971962616822,0.828125
AEP,American Electric Power Company,Utilities,Utilities - Regulated Electric,69781471232.0,12.538712597674861,11.120824140126446,23.659536737801307,329,267,337,-0.028611514127369952,45.25967936408699,-0.1917142431226273,0.7310606060606061,0.5,0.27358490566037735,18.707144,0.102,0.47243,0.12585,0.23738001,-6953449984.0,5.8613355927149815,0.41604477611940294,0.5581613508442776,0.5495327102803739,0.4166666666666667,0.6504672897196262,0.078125
SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,94810750976.0,11.8619568324757,11.653659869217053,23.515616701692753,330,307,309,-0.01624938549669941,60.6696381941953,-0.08175099923652529,0.7102272727272727,0.18490566037735845,0.5283018867924528,29.019033,0.655,0.82024,0.055430003,0.13340001,3096222464.0,3.485506823608701,0.16791044776119401,0.9606003752345216,0.9401869158878504,0.15476190476190477,0.33457943925233646,0.2388392857142857
AZO,"AutoZone, Inc.",Consumer Cyclical,Auto Parts,55475945472.0,12.433652563369545,11.055156703505508,23.48880926687505,331,279,342,-0.11991086694393138,44.016956809574005,-0.3464608372565463,0.8901515151515151,0.5283018867924528,0.07358490566037736,19.126902,0.082,0.51875997,,0.16341999,853699648.0,3.0056423614498655,0.39925373134328357,0.4596622889305816,0.611214953271028,,0.4261682242990654,0.3147321428571429
ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans,87701028864.0,13.170323518200878,10.277094135356888,23.447417653557764,332,238,386,0.10041843654289684,51.93647041522445,0.22617231888577982,0.3162878787878788,0.36226415094339626,0.9018867924528302,13.808019,0.026,0.25891,0.12086,0.05303,4298625024.0,-0.7772703977632415,0.6399253731343284,0.1848030018761726,0.20747663551401868,0.39087301587301587,0.13271028037383178,0.9107142857142857
APO,"Apollo Global Management, Inc. ",Financial Services,Asset Management,76065718272.0,15.122689155708024,8.310505590398014,23.43319474610604,333,120,489,0.07123775238966923,43.223449570266716,0.16613521698297773,0.4015151515151515,0.5452830188679245,0.8679245283018868,12.408551,-0.092,0.35222,0.08492,0.13489,,,0.708955223880597,0.0300187617260788,0.3252336448598131,0.25396825396825395,0.34392523364485983,
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,38417240064.0,13.5924695063846,9.811902805390393,23.404372311774992,334,215,423,-0.032607161620593295,41.78318040339372,-0.1778061018425775,0.740530303030303,0.5867924528301887,0.30377358490566037,11.255525,-0.023,0.21597,0.13084,0.11257,2875425024.0,1.2378737101380815,0.7817164179104478,0.07692307692307693,0.16822429906542055,0.4226190476190476,0.2803738317757009,0.625
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,19981666304.0,10.138591099676008,13.217050699431915,23.35564179910792,335,406,212,-0.13486744171380738,57.077973857140265,-0.35753955145225713,0.9071969696969697,0.25094339622641515,0.05849056603773585,15.003631,0.327,0.18531,-0.0182,0.24786,716711744.0,0.2477286540101879,0.5876865671641791,0.8986866791744841,0.12897196261682242,0.07539682539682539,0.6822429906542056,0.7991071428571428
AIG,"American International Group, I",Financial Services,Insurance - Diversified,41422360576.0,12.804697922622452,10.52246241856743,23.32716034118988,336,255,378,-0.010391510178525465,44.010125033192104,-0.17003460626150146,0.6893939393939394,0.530188679245283,0.3169811320754717,8.795147,0.014,0.35534,0.07723,0.18620001,9517249536.0,,0.9029850746268657,0.1472795497185741,0.33084112149532713,0.2261904761904762,0.497196261682243,
FOXA,Fox Corporation,Communication Services,Entertainment,27360430080.0,11.066621402706307,12.253162062862666,23.319783465568975,337,356,257,0.06419565447577247,66.25077043527511,0.07485721631529052,0.4185606060606061,0.11509433962264148,0.7943396226415095,11.537725,-0.086,0.36843,0.152,0.21357,1406499968.0,0.8663060728715037,0.7555970149253731,0.03470919324577861,0.3616822429906542,0.5,0.5934579439252337,0.6953125
UNP,Union Pacific Corporation,Industrials,Railroads,162873344000.0,8.857799695063845,14.45684678456626,23.314646479630106,338,475,143,0.16380747647440574,60.05675419813447,0.00932293743525503,0.17803030303030298,0.19622641509433958,0.6886792452830188,20.045229,0.032,0.56526,0.40686,0.40357,4034374912.0,2.2551226328245417,0.3675373134328358,0.22045028142589118,0.6766355140186916,0.8650793650793651,0.9046728971962616,0.4352678571428571
MET,"MetLife, Inc.",Financial Services,Insurance - Life,52504440832.0,13.417012102153612,9.887840811157327,23.30485291331094,339,222,412,0.17388936662046617,42.62441433193449,0.19247524272360228,0.1609848484848485,0.5622641509433962,0.8867924528301887,7.4227366,0.027,0.23754999,0.13014,0.09919,-17429749760.0,,0.9328358208955224,0.19606003752345216,0.18878504672897195,0.42063492063492064,0.23925233644859814,
