date,tier,R_t,cash_pct,n_holdings,turnover,holdings
2015-10-01,1_cap_pres,0.795,0.846,12,0.667,"ABBV,GILD,VEEV,AMGN,ZTS,MRK,REGN,VRTX,PODD,TDG,ISRG,V"
2015-11-02,1_cap_pres,0.388,0.541,12,0.667,"IDXX,LLY,V,PODD,MCO,UHS,MA,ZTS,BRO,UNP,VEEV,VRSK"
2015-12-01,1_cap_pres,0.379,0.534,12,0.75,"MA,AMP,ABBV,GILD,ICE,IDXX,AMGN,UAL,MO,CME,FDS,V"
2016-01-04,1_cap_pres,0.627,0.72,12,0.5,"RMD,AMP,FDS,V,INCY,MA,GPN,LLY,GILD,DXCM,CME,MNST"
2016-02-01,1_cap_pres,0.764,0.823,12,0.5,"INCY,LLY,AMP,GILD,ZTS,MA,BMY,VEEV,DXCM,REGN,MCO,SPGI"
2016-03-01,1_cap_pres,0.694,0.77,12,0.5,"LLY,ICE,INCY,AMP,RMD,BMY,ZTS,GILD,AMGN,CME,KO,TDG"
2016-04-01,1_cap_pres,0.437,0.578,12,0.417,"LLY,ABBV,VEEV,BMY,RMD,INCY,MO,ICE,MRK,TDG,NDAQ,AMP"
2016-05-02,1_cap_pres,0.432,0.574,12,0.583,"GILD,PODD,INCY,RMD,KO,V,NDAQ,LLY,TDG,IQV,DXCM,MKC"
2016-06-01,1_cap_pres,0.364,0.523,12,0.667,"LLY,MA,ABBV,MO,KO,V,PM,PEP,JNJ,CL,GILD,ES"
2016-07-01,1_cap_pres,0.529,0.647,12,0.75,"MA,V,AMP,ICE,NDAQ,MCO,KO,GPN,EW,UNP,INCY,AMGN"
2016-08-01,1_cap_pres,0.376,0.532,12,0.667,"GILD,INCY,BRO,AFL,MO,KO,AON,MRK,AMP,GPN,TROW,BMY"
2016-09-01,1_cap_pres,0.336,0.502,12,0.75,"LLY,ABBV,ZTS,MNST,INCY,BMY,GILD,JNJ,VRTX,AMGN,UHS,MA"
2016-10-03,1_cap_pres,0.448,0.586,12,0.667,"ICE,FDS,ABBV,MO,VRTX,AMGN,MSCI,CME,DXCM,BMY,AMP,NDAQ"
2016-11-01,1_cap_pres,0.568,0.676,12,0.5,"LLY,AMP,RMD,AMGN,MCO,CME,ABBV,ZTS,NDAQ,DXCM,PODD,REGN"
2016-12-01,1_cap_pres,0.369,0.527,12,0.583,"LLY,V,MA,GILD,PODD,ZTS,MSCI,NDAQ,MRK,SPGI,JNJ,ABBV"
2017-01-03,1_cap_pres,0.294,0.471,12,0.5,"AMP,MCO,ICE,MSCI,SPGI,NDAQ,CME,V,DXCM,MA,PODD,GPN"
2017-02-01,1_cap_pres,0.258,0.443,12,0.75,"MA,BRO,GILD,BMY,AMP,TROW,ABBV,TDG,AFL,PYPL,JNJ,V"
2017-03-01,1_cap_pres,0.225,0.419,12,0.5,"ZTS,GILD,ICE,KO,MNST,BRO,GPN,V,ABBV,MA,VEEV,TDG"
2017-04-03,1_cap_pres,0.332,0.499,12,0.75,"BRO,MO,BMY,CME,INCY,AMGN,TROW,FDS,NDAQ,AMP,ICE,ABBV"
2017-05-01,1_cap_pres,0.258,0.443,12,0.333,"INCY,LLY,CME,AMP,MO,FAST,ICE,URI,NDAQ,RMD,BRO,AMGN"
2017-06-01,1_cap_pres,0.297,0.473,12,0.5,"LLY,AMGN,AMP,GILD,DXCM,BMY,ABBV,CME,PFE,ICE,NDAQ,UHS"
2017-07-03,1_cap_pres,0.382,0.537,12,0.833,"V,MA,DXCM,CL,MSCI,LLY,MO,BRO,INCY,MKC,MRK,BF-B"
2017-08-01,1_cap_pres,0.263,0.447,12,0.583,"LLY,MO,IDXX,BMY,ABBV,INCY,CL,PM,DXCM,UHS,AMGN,REGN"
2017-09-01,1_cap_pres,0.401,0.551,12,0.833,"LLY,MO,VEEV,ICE,AMP,EW,JNJ,NDAQ,KO,FDS,MDT,AON"
2017-10-02,1_cap_pres,0.288,0.466,12,0.75,"ZTS,INCY,V,MA,EW,KO,TDG,DXCM,RMD,GILD,VEEV,PM"
2017-11-01,1_cap_pres,0.357,0.517,12,0.75,"LLY,GILD,ICE,NDAQ,AMGN,MSCI,MRK,INCY,BMY,VST,AON,PM"
